---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 250          |
|              SCOTT verified                |
|              time limit = 1000           |
|              m ≤ s*s                       |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  34    |  13    |   FC                            GAP          |  =     17/39    | runtime:  0.02
  35    |  13    |       INT                  MID  GAP          |  =     64/143   | runtime:  0.02
  36    |  13    |   FC  INT                  MID  GAP          |  =     29/65    | runtime:  0.03
  37    |  13    |   FC                            GAP          |  =     28/65    | runtime:  0.02
  38    |  13    |   FC                            GAP          |  =     27/65    | runtime:  0.02
  40    |  13    |   FC                            GAP          |  =     40/91    | runtime:  0.03
  41    |  13    |   FC                            GAP          |  =     41/91    | runtime:  0.02
  42    |  13    |   FC                                         |  =      6/13    | runtime:  0.02
  43    |  13    |   FC                            GAP          |  =     35/78    | runtime:  0.02
  44    |  13    |   FC                            GAP          |  =     17/39    | runtime:  0.04
  45    |  13    |   FC                            GAP          |  =     11/26    | runtime:  0.03
  46    |  13    |   FC                            GAP          |  =     23/52    | runtime:  0.04
  47    |  13    |   FC                            GAP          |  =     47/104   | runtime:  0.04
  48    |  13    |   FC                            GAP          |  =      6/13    | runtime:  0.01
  49    |  13    |   FC                            GAP          |  =      6/13    | runtime:  0.01
  50    |  13    |   FC                            GAP          |  =     41/91    | runtime:  0.04
  51    |  13    |   FC                            GAP          |  =     40/91    | runtime:  0.03
  53    |  13    |   FC                            GAP          |  =     53/117   | runtime:  0.03
  54    |  13    |   FC                            GAP          |  =      6/13    | runtime:  0.02
  55    |  13    |       INT  HALF            MID  GAP          |  =     85/182   | runtime:  0.02
  56    |  13    |   FC                            GAP          |  =      6/13    | runtime:  0.03
