---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|               PROC verified                |
|              time limit = 660            |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  28    |  9     |   FC                                         |  =      4/9     |   0.01 
  29    |  9     |       INT  HALF            MID  GAP          |  =     41/90    |   0.01 
  31    |  9     |   FC                                         |  =     23/54    |   0.02 
  32    |  9     |   FC                                         |  =      4/9     |   0.02 
  34    |  9     |   FC                                         |  =     29/63    |   0.01 
  35    |  9     |   FC                                         |  =      4/9     |   0.03 
  37    |  9     |   FC                                         |  =     37/81    |   0.03 
  38    |  9     |       INT  HALF            MID  GAP          |  =     59/126   |   0.01 
  40    |  9     |   FC                                         |  =      4/9     |   0.02 
  41    |  9     |   FC                                         |  =     41/90    |   0.03 
  43    |  9     |   FC                                         |  =     38/81    |   0.02 
  44    |  9     |   FC                                         |  =     37/81    |   0.02 
  46    |  9     |   FC                                         |  =     46/99    |   0.03 
  47    |  9     |       INT                  MID  GAP          |  =     37/78    |   0.01 
  49    |  9     |   FC                                         |  =     41/90    |   0.03 
  50    |  9     |   FC                                         |  =     25/54    |   0.03 
  52    |  9     |   FC                                         |  =     47/99    |   0.02 
  53    |  9     |   FC                                         |  =     46/99    |   0.05 
  55    |  9     |   FC                                         |  =     55/117   |   0.03 
  56    |  9     |   FC  INT                  MID  GAP  TRAIN   |  =     56/117   |   0.02 
  58    |  9     |   FC                                         |  =     25/54    |   0.03 
  59    |  9     |   FC                                         |  =     59/126   |   0.04 
  61    |  9     |   FC                                         |  =     56/117   |   0.03 
  62    |  9     |   FC                                         |  =     55/117   |   0.04 
  64    |  9     |   FC                                         |  =     64/135   |   0.04 
  65    |  9     |   FC                                         |  =     13/27    |   0.01 
  67    |  9     |   FC                                         |  =     59/126   |   0.05 
  68    |  9     |   FC                                         |  =     17/36    |   0.04 
  70    |  9     |   FC                                         |  =     13/27    |   0.03 
  71    |  9     |   FC                                         |  =     64/135   |   0.05 
  73    |  9     |   FC                                         |  =     73/153   |   0.05 
  74    |  9     |   FC                                         |  =     74/153   |   0.02 
  76    |  9     |   FC                                         |  =     17/36    |   0.05 
  77    |  9     |   FC                                         |  =     77/162   |   0.05 
  79    |  9     |   FC                                         |  =     74/153   |   0.03 
  80    |  9     |   FC                                         |  =     73/153   |   0.05 
